 110000 北京
 110100 100000 北京-北京市
 110101 100000 北京-北京市-东城区
 110102 100000 北京-北京市-西城区
 110105 100000 北京-北京市-朝阳区
 110106 100000 北京-北京市-丰台区
 110107 100000 北京-北京市-石景山区
 110108 100000 北京-北京市-海淀区
 110109 102300 北京-北京市-门头沟区
 110111 102400 北京-北京市-房山区
 110112 101100 北京-北京市-通州区
 110113 101300 北京-北京市-顺义区
 110114 102200 北京-北京市-昌平区
 110115 102600 北京-北京市-大兴区
 110116 101400 北京-北京市-怀柔区
 110117 101200 北京-北京市-平谷区
 110118 101500 北京-北京市-密云区
 110119 102100 北京-北京市-延庆区
 120000 天津
 120100 300000 天津-天津市
 120101 300000 天津-天津市-和平区
 120102 300000 天津-天津市-河东区
 120103 300000 天津-天津市-河西区
 120104 300000 天津-天津市-南开区
 120105 300000 天津-天津市-河北区
 120106 300000 天津-天津市-红桥区
 120110 300000 天津-天津市-东丽区
 120111 300000 天津-天津市-西青区
 120112 300000 天津-天津市-津南区
 120113 300000 天津-天津市-北辰区
 120114 301700 天津-天津市-武清区
 120115 301800 天津-天津市-宝坻区
 120116 300457 天津-天津市-滨海新区
 120117 301500 天津-天津市-宁河区
 120118 301600 天津-天津市-静海区
 120225 301900 天津-天津市-蓟县
 120226 301900 天津-天津市-北部新区
 130000 河北省
 130100 050000 河北省-石家庄市
 130102 050000 河北省-石家庄市-长安区
 130104 050000 河北省-石家庄市-桥西区
 130105 050000 河北省-石家庄市-新华区
 130107 050100 河北省-石家庄市-井陉矿区
 130108 050000 河北省-石家庄市-裕华区
 130109 052160 河北省-石家庄市-藁城区
 130110 050200 河北省-石家庄市-鹿泉区
 130111 051430 河北省-石家庄市-栾城区
 130121 050300 河北省-石家庄市-井陉县
 130123 050800 河北省-石家庄市-正定县
 130125 050600 河北省-石家庄市-行唐县
 130126 050500 河北省-石家庄市-灵寿县
 130127 051330 河北省-石家庄市-高邑县
 130128 052500 河北省-石家庄市-深泽县
 130129 051230 河北省-石家庄市-赞皇县
 130130 052460 河北省-石家庄市-无极县
 130131 050400 河北省-石家庄市-平山县
 130132 051130 河北省-石家庄市-元氏县
 130133 051530 河北省-石家庄市-赵县
 130181 052360 河北省-石家庄市-辛集市
 130183 052200 河北省-石家庄市-晋州市
 130184 050700 河北省-石家庄市-新乐市
 130200 063000 河北省-唐山市
 130202 063000 河北省-唐山市-路南区
 130203 063000 河北省-唐山市-路北区
 130204 063100 河北省-唐山市-古冶区
 130205 063000 河北省-唐山市-开平区
 130207 063300 河北省-唐山市-丰南区
 130208 063000 河北省-唐山市-丰润区
 130209 063200 河北省-唐山市-曹妃甸区
 130223 063700 河北省-唐山市-滦县
 130224 063500 河北省-唐山市-滦南县
 130225 063600 河北省-唐山市-乐亭县
 130227 064300 河北省-唐山市-迁西县
 130229 064100 河北省-唐山市-玉田县
 130281 064200 河北省-唐山市-遵化市
 130283 064400 河北省-唐山市-迁安市
 130300 066000 河北省-秦皇岛市
 130302 066000 河北省-秦皇岛市-海港区
 130303 066200 河北省-秦皇岛市-山海关区
 130304 066100 河北省-秦皇岛市-北戴河区
 130306 066300 河北省-秦皇岛市-抚宁区
 130321 066500 河北省-秦皇岛市-青龙满族自治县
 130322 066600 河北省-秦皇岛市-昌黎县
 130324 066400 河北省-秦皇岛市-卢龙县
 130325 066311 河北省-秦皇岛市-北戴河新区
 130400 056000 河北省-邯郸市
 130402 056000 河北省-邯郸市-邯山区
 130403 056000 河北省-邯郸市-丛台区
 130404 056000 河北省-邯郸市-复兴区
 130406 056200 河北省-邯郸市-峰峰矿区
 130421 056000 河北省-邯郸市-邯郸县
 130423 056600 河北省-邯郸市-临漳县
 130424 056700 河北省-邯郸市-成安县
