council area|GB-ABE|Aberdeen City||en||
council area|GB-ABD|Aberdeenshire||en||
council area|GB-ANS|Angus||en||
district|GB-ANN|Antrim and Newtownabbey||en||
district|GB-AND|Ards and North Down||en||
council area|GB-AGB|Argyll and Bute||en||
district|GB-ABC|Armagh City, Banbridge and Craigavon||en||
London borough|GB-BDG|Barking and Dagenham||en||
London borough|GB-BNE|Barnet||en||
metropolitan district|GB-BNS|Barnsley||en||
unitary authority|GB-BAS|Bath and North East Somerset||en||
unitary authority|GB-BDF|Bedford||en||
district|GB-BFS|Belfast City||en||
London borough|GB-BEX|Bexley||en||
metropolitan district|GB-BIR|Birmingham||en||
unitary authority|GB-BBD|Blackburn with Darwen||en||
unitary authority|GB-BPL|Blackpool||en||
unitary authority|GB-BGW|Blaenau Gwent||en||
metropolitan district|GB-BOL|Bolton||en||
unitary authority|GB-BCP*|Bournemouth, Christchurch and Poole||en||
unitary authority|GB-BRC|Bracknell Forest||en||
metropolitan district|GB-BRD|Bradford||en||
London borough|GB-BEN|Brent||en||
unitary authority|GB-BGE|Bridgend [Pen-y-bont ar Ogwr GB-POG]||en||
unitary authority|GB-BNH|Brighton and Hove||en||
unitary authority|GB-BST|Bristol, City of||en||
London borough|GB-BRY|Bromley||en||
two-tier county|GB-BKM|Buckinghamshire||en||
metropolitan district|GB-BUR|Bury||en||
unitary authority|GB-CAY|Caerphilly [Caerffili GB-CAF]||en||
metropolitan district|GB-CLD|Calderdale||en||
two-tier county|GB-CAM|Cambridgeshire||en||
London borough|GB-CMD|Camden||en||
unitary authority|GB-CRF|Cardiff [Caerdydd GB-CRD]||en||
unitary authority|GB-CMN|Carmarthenshire [Sir Gaerfyrddin GB-GFY]||en||
district|GB-CCG|Causeway Coast and Glens||en||
unitary authority|GB-CBF*|Central Bedfordshire||en||
unitary authority|GB-CGN|Ceredigion [Sir Ceredigion]||en||
unitary authority|GB-CHE*|Cheshire East||en||
unitary authority|GB-CHW*|Cheshire West and Chester||en||
council area|GB-CLK|Clackmannanshire||en||
unitary authority|GB-CWY|Conwy||en||
unitary authority|GB-CON|Cornwall||en||
metropolitan district|GB-COV|Coventry||en||
London borough|GB-CRY|Croydon||en||
two-tier county|GB-CMA|Cumbria||en||
unitary authority|GB-DAL|Darlington||en||
unitary authority|GB-DEN|Denbighshire [Sir Ddinbych GB-DDB]||en||
unitary authority|GB-DER|Derby||en||
two-tier county|GB-DBY|Derbyshire||en||
district|GB-DRS|Derry and Strabane||en||
two-tier county|GB-DEV|Devon||en||
metropolitan district|GB-DNC|Doncaster||en||
two-tier county|GB-DOR|Dorset||en||
metropolitan district|GB-DUD|Dudley||en||
council area|GB-DGY|Dumfries and Galloway||en||
council area|GB-DND|Dundee City||en||
unitary authority|GB-DUR|Durham, County||en||
London borough|GB-EAL|Ealing||en||
council area|GB-EAY|East Ayrshire||en||
council area|GB-EDU|East Dunbartonshire||en||
council area|GB-ELN|East Lothian||en||
council area|GB-ERW|East Renfrewshire||en||
unitary authority|GB-ERY|East Riding of Yorkshire||en||
two-tier county|GB-ESX|East Sussex||en||
council area|GB-EDH|Edinburgh, City of||en||
council area|GB-ELS|Eilean Siar||en||
London borough|GB-ENF|Enfield||en||
two-tier county|GB-ESS|Essex||en||
council area|GB-FAL|Falkirk||en||
district|GB-FMO|Fermanagh and Omagh||en||
council area|GB-FIF|Fife||en||
unitary authority|GB-FLN|Flintshire [Sir y Fflint GB-FFL]||en||
metropolitan district|GB-GAT|Gateshead||en||
council area|GB-GLG|Glasgow City||en||
two-tier county|GB-GLS|Gloucestershire||en||
London borough|GB-GRE|Greenwich||en||
unitary authority|GB-GWN|Gwynedd||en||
London borough|GB-HCK|Hackney||en||
unitary authority|GB-HAL|Halton||en||
London borough|GB-HMF|Hammersmith and Fulham||en||
two-tier county|GB-HAM|Hampshire||en||
London borough|GB-HRY|Haringey||en||
London borough|GB-HRW|Harrow||en||
unitary authority|GB-HPL|Hartlepool||en||
London borough|GB-HAV|Havering||en||
unitary authority|GB-HEF|Herefordshire||en||
two-tier county|GB-HRT|Hertfordshire||en||
council area|GB-HLD|Highland||en||
London borough|GB-HIL|Hillingdon||en||
London borough|GB-HNS|Hounslow||en||
council area|GB-IVC|Inverclyde||en||
unitary authority|GB-AGY|Isle of Anglesey [Sir Ynys Môn GB-YNM]||en||
unitary authority|GB-IOW|Isle of Wight||en||
unitary authority|GB-IOS*|Isles of Scilly||en||
London borough|GB-ISL|Islington||en||
London borough|GB-KEC|Kensington and Chelsea||en||
two-tier county|GB-KEN|Kent||en||
unitary authority|GB-KHL|Kingston upon Hull||en||
London borough|GB-KTT|Kingston upon Thames||en||
metropolitan district|GB-KIR|Kirklees||en||
metropolitan district|GB-KWL|Knowsley||en||
London borough|GB-LBH|Lambeth||en||
two-tier county|GB-LAN|Lancashire||en||
metropolitan district|GB-LDS|Leeds||en||
unitary authority|GB-LCE|Leicester||en||
two-tier county|GB-LEC|Leicestershire||en||
London borough|GB-LEW|Lewisham||en||
two-tier county|GB-LIN|Lincolnshire||en||
district|GB-LBC|Lisburn and Castlereagh||en||
metropolitan district|GB-LIV|Liverpool||en||
