district municipality|LT-01*|Akmenė||lt||
county|LT-AL*|Alytaus apskritis||lt||
city municipality|LT-02*|Alytaus miestas||lt||
district municipality|LT-03*|Alytus||lt||
district municipality|LT-04*|Anykščiai||lt||
municipality|LT-05*|Birštono||lt||
district municipality|LT-06*|Biržai||lt||
municipality|LT-07*|Druskininkai||lt||
municipality|LT-08*|Elektrėnai||lt||
district municipality|LT-09*|Ignalina||lt||
district municipality|LT-10*|Jonava||lt||
district municipality|LT-11*|Joniškis||lt||
district municipality|LT-12*|Jurbarkas||lt||
district municipality|LT-13*|Kaišiadorys||lt||
municipality|LT-14*|Kalvarijos||lt||
district municipality|LT-16*|Kaunas||lt||
county|LT-KU*|Kauno apskritis||lt||
city municipality|LT-15*|Kauno miestas||lt||
municipality|LT-17*|Kazlų Rūdos||lt||
district municipality|LT-19*|Kelmė||lt||
district municipality|LT-21*|Klaipėda||lt||
county|LT-KL*|Klaipėdos apskritis||lt||
city municipality|LT-20*|Klaipėdos miestas||lt||
district municipality|LT-22*|Kretinga||lt||
district municipality|LT-23*|Kupiškis||lt||
district municipality|LT-18*|Kėdainiai||lt||
district municipality|LT-24*|Lazdijai||lt||
district municipality|LT-25*|Marijampolė||lt||
county|LT-MR*|Marijampolės apskritis||lt||
district municipality|LT-26*|Mažeikiai||lt||
district municipality|LT-27*|Molėtai||lt||
municipality|LT-28*|Neringa||lt||
municipality|LT-29*|Pagėgiai||lt||
district municipality|LT-30*|Pakruojis||lt||
city municipality|LT-31*|Palangos miestas||lt||
county|LT-PN*|Panevėžio apskritis||lt||
city municipality|LT-32*|Panevėžio miestas||lt||
district municipality|LT-33*|Panevėžys||lt||
district municipality|LT-34*|Pasvalys||lt||
district municipality|LT-35*|Plungė||lt||
district municipality|LT-36*|Prienai||lt||
district municipality|LT-37*|Radviliškis||lt||
district municipality|LT-38*|Raseiniai||lt||
municipality|LT-39*|Rietavo||lt||
district municipality|LT-40*|Rokiškis||lt||
district municipality|LT-48*|Skuodas||lt||
district municipality|LT-50*|Tauragė||lt||
county|LT-TA*|Tauragės apskritis||lt||
district municipality|LT-51*|Telšiai||lt||
county|LT-TE*|Telšių apskritis||lt||
district municipality|LT-52*|Trakai||lt||
district municipality|LT-53*|Ukmergė||lt||
district municipality|LT-54*|Utena||lt||
county|LT-UT*|Utenos apskritis||lt||
district municipality|LT-55*|Varėna||lt||
district municipality|LT-56*|Vilkaviškis||lt||
county|LT-VL*|Vilniaus apskritis||lt||
city municipality|LT-57*|Vilniaus miestas||lt||
district municipality|LT-58*|Vilnius||lt||
municipality|LT-59*|Visaginas||lt||
district municipality|LT-60*|Zarasai||lt||
district municipality|LT-41*|Šakiai||lt||
district municipality|LT-42*|Šalčininkai||lt||
district municipality|LT-44*|Šiauliai||lt||
county|LT-SA*|Šiaulių apskritis||lt||
city municipality|LT-43*|Šiaulių miestas||lt||
district municipality|LT-45*|Šilalė||lt||
district municipality|LT-46*|Šilutė||lt||
district municipality|LT-47*|Širvintos||lt||
district municipality|LT-49*|Švenčionys||lt||
