department|NI-BO*|Boaco||es||
department|NI-CA*|Carazo||es||
department|NI-CI*|Chinandega||es||
department|NI-CO*|Chontales||es||
autonomous region|NI-AN*|Costa Caribe Norte||es||
autonomous region|NI-AS*|Costa Caribe Sur||es||
department|NI-ES*|Estelí||es||
department|NI-GR*|Granada||es||
department|NI-JI*|Jinotega||es||
department|NI-LE*|León||es||
department|NI-MD*|Madriz||es||
department|NI-MN*|Managua||es||
department|NI-MS*|Masaya||es||
department|NI-MT*|Matagalpa||es||
department|NI-NS*|Nueva Segovia||es||
department|NI-RI*|Rivas||es||
department|NI-SJ*|Río San Juan||es||
