Call Number,Unit ID,Incident Number,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID
160012540,T19,16000384,01/01/2016,01/01/2016,01/01/2016 03:43:46 PM,01/01/2016 03:45:17 PM,01/01/2016 03:45:40 PM,01/01/2016 03:47:29 PM,01/01/2016 03:49:46 PM,,,Fire,01/01/2016 04:07:49 PM,3200 Block of 20TH AVE,San Francisco,94132,B08,19,8861,3,3,3,false,Alarm,1,TRUCK,1,8,7,Lakeshore,160012540-T19
160010940,E06,16000179,01/01/2016,12/31/2015,01/01/2016 03:59:58 AM,01/01/2016 03:59:58 AM,01/01/2016 04:02:50 AM,01/01/2016 04:04:51 AM,01/01/2016 04:07:29 AM,,,Fire,01/01/2016 04:07:36 AM,HERMANN ST/BUCHANAN ST,San Francisco,94102,B02,06,3417,3,3,3,true,Alarm,1,ENGINE,1,2,8,Hayes Valley,160010940-E06
160012858,52,16000430,01/01/2016,01/01/2016,01/01/2016 05:17:49 PM,01/01/2016 05:19:25 PM,01/01/2016 05:19:54 PM,01/01/2016 05:20:02 PM,,,,No Merit,01/01/2016 05:29:39 PM,BAY ST/MASON ST,San Francisco,94133,B01,28,1425,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,1,3,North Beach,160012858-52
160012262,RWC1,16000359,01/01/2016,01/01/2016,01/01/2016 02:18:59 PM,01/01/2016 02:20:17 PM,01/01/2016 02:23:49 PM,01/01/2016 02:23:49 PM,,,,Fire,01/01/2016 04:04:25 PM,600 Block of POINT LOBOS AVE,San Francisco,94121,B07,34,7314,3,3,3,false,Fire,1,SUPPORT,17,7,1,Outer Richmond,160012262-RWC1
160011988,RC3,16000328,01/01/2016,01/01/2016,01/01/2016 01:02:18 PM,01/01/2016 01:02:18 PM,01/01/2016 01:03:23 PM,01/01/2016 01:05:18 PM,,,,No Merit,01/01/2016 01:11:04 PM,SUNNYDALE AV/GARRISON AV,San Francisco,94134,B09,44,6253,A,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,9,10,Visitacion Valley,160011988-RC3
160012236,AR1,16000356,01/01/2016,01/01/2016,01/01/2016 02:12:11 PM,01/01/2016 02:13:18 PM,01/01/2016 02:28:19 PM,01/01/2016 02:28:19 PM,01/01/2016 02:49:08 PM,,,Fire,01/01/2016 03:05:26 PM,MCALLISTER ST/PIERCE ST,San Francisco,94115,B05,05,3642,3,3,3,false,Fire,1,INVESTIGATION,2,5,5,Western Addition,160012236-AR1
160010462,E01,16000092,01/01/2016,12/31/2015,01/01/2016 01:38:57 AM,01/01/2016 01:41:11 AM,01/01/2016 01:48:15 AM,01/01/2016 01:48:15 AM,01/01/2016 01:49:41 AM,,,Code 2 Transport,01/01/2016 02:19:52 AM,100 Block of 3RD ST,San Francisco,94103,B03,01,2177,2,3,3,true,Non Life-threatening,1,ENGINE,1,3,6,Financial District/South Beach,160010462-E01
160012262,E34,16000359,01/01/2016,01/01/2016,01/01/2016 02:18:59 PM,01/01/2016 02:20:17 PM,01/01/2016 02:21:41 PM,01/01/2016 02:23:53 PM,01/01/2016 02:27:14 PM,,,Fire,01/01/2016 03:21:38 PM,600 Block of POINT LOBOS AVE,San Francisco,94121,B07,34,7314,3,3,3,false,Fire,1,ENGINE,4,7,1,Outer Richmond,160012262-E34
160012566,KM13,16000389,01/01/2016,01/01/2016,01/01/2016 03:51:55 PM,01/01/2016 03:53:22 PM,01/01/2016 03:54:11 PM,01/01/2016 03:56:04 PM,01/01/2016 04:02:46 PM,01/01/2016 04:24:59 PM,01/01/2016 04:49:33 PM,Code 2 Transport,01/01/2016 05:31:11 PM,0 Block of CASA WAY,San Francisco,94123,B04,16,3563,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,4,2,Marina,160012566-KM13
160012341,B03,16000366,01/01/2016,01/01/2016,01/01/2016 02:42:43 PM,01/01/2016 02:44:29 PM,01/01/2016 02:44:58 PM,01/01/2016 02:47:20 PM,,,,Fire,01/01/2016 02:51:21 PM,200 Block of CONNECTICUT ST,San Francisco,94107,B03,37,2462,3,3,3,false,Alarm,1,CHIEF,3,3,10,Potrero Hill,160012341-B03
160012471,E01,16000381,01/01/2016,01/01/2016,01/01/2016 03:20:52 PM,01/01/2016 03:24:25 PM,01/01/2016 03:24:39 PM,01/01/2016 03:25:59 PM,01/01/2016 03:28:49 PM,,,Code 2 Transport,01/01/2016 03:37:56 PM,100 Block of MASON ST,San Francisco,94102,B03,01,1366,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,3,6,Tenderloin,160012471-E01
160010746,E03,16000148,01/01/2016,12/31/2015,01/01/2016 02:50:20 AM,01/01/2016 02:50:20 AM,01/01/2016 02:51:53 AM,01/01/2016 02:51:53 AM,,,,SFPD,01/01/2016 02:57:58 AM,300 Block of EDDY ST,San Francisco,94102,B02,03,1540,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,2,6,Tenderloin,160010746-E03
160012822,KM02,16000424,01/01/2016,01/01/2016,01/01/2016 05:04:39 PM,01/01/2016 05:08:24 PM,01/01/2016 05:08:52 PM,01/01/2016 05:10:27 PM,01/01/2016 05:18:21 PM,01/01/2016 05:28:57 PM,01/01/2016 06:24:59 PM,Code 2 Transport,01/01/2016 06:36:45 PM,1300 Block of POWELL ST,San Francisco,94133,B01,02,1353,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,1,3,Chinatown,160012822-KM02
160011237,E42,16000225,01/01/2016,12/31/2015,01/01/2016 07:04:38 AM,01/01/2016 07:05:07 AM,01/01/2016 07:06:27 AM,01/01/2016 07:08:52 AM,01/01/2016 07:11:55 AM,,,No Merit,01/01/2016 07:12:29 AM,CORTLAND AV/GATES ST,San Francisco,94110,B06,32,5726,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,6,9,Bernal Heights,160011237-E42
160010529,GATOR1,16000106,01/01/2016,12/31/2015,01/01/2016 01:57:50 AM,01/01/2016 01:58:31 AM,01/01/2016 02:03:46 AM,01/01/2016 02:03:46 AM,01/01/2016 02:05:29 AM,,,Code 2 Transport,01/01/2016 02:31:50 AM,0 Block of CALIFORNIA ST,San Francisco,94111,B99,13,1134,3,3,3,false,Potentially Life-Threatening,1,SUPPORT,1,1,3,Financial District/South Beach,160010529-GATOR1
