5231 Ballard Av Nw,Aid Response,01/02/2014 11:34:18 PM,47.665782,-122.38246,POINT (-122.38246 47.665782),F140000736
Boren Av / Virginia St,Aid Response,01/02/2014 11:48:14 PM,47.617714,-122.334018,POINT (-122.334018 47.617714),F140000737
E Pine St / Madrona Dr,Brush Fire,01/03/2014 12:05:33 AM,47.615235,-122.283913,POINT (-122.283913 47.615235),F140000739
Queen Anne Av N / W Blaine St,Motor Vehicle Accident,01/03/2014 12:17:37 AM,47.634743,-122.35697,POINT (-122.35697 47.634743),F140000740
6101 Rainier Av S,Medic Response,01/03/2014 12:20:46 AM,47.547417,-122.276738,POINT (-122.276738 47.547417),F140000741
116 Fairview Av N,Aid Response,01/03/2014 12:25:29 AM,47.618693,-122.334256,POINT (-122.334256 47.618693),F140000742
5600 24th Av Nw,Aid Response,01/03/2014 12:37:18 AM,47.669458,-122.387587,POINT (-122.387587 47.669458),F140000743
1902 2nd Av,Aid Response,01/03/2014 01:06:01 AM,47.610972,-122.340465,POINT (-122.340465 47.610972),F140000744
11th Av E / E Republican St,Aid Response,01/03/2014 01:13:19 AM,47.623118,-122.317805,POINT (-122.317805 47.623118),F140000746
11030 5th Av Ne,Aid Response Yellow,01/03/2014 01:22:01 AM,47.709488,-122.323301,POINT (-122.323301 47.709488),F140000749
3619 Sw Holly St,Aid Response,01/03/2014 01:46:22 AM,47.542896,-122.378505,POINT (-122.378505 47.542896),F140000750
Belmont Av / E Pike St,Aid Response,01/03/2014 02:05:14 AM,47.614094,-122.324458,POINT (-122.324458 47.614094),F140000752
5647 S Avon St,Medic Response,01/03/2014 02:06:01 AM,47.501341,-122.261944,POINT (-122.261944 47.501341),F140000753
4890 Sw Barton St,Aid Response,01/03/2014 02:08:24 AM,47.523173,-122.39299,POINT (-122.39299 47.523173),F140000754
3rd Av / Pine St,Aid Response,01/03/2014 02:18:17 AM,47.610743,-122.338702,POINT (-122.338702 47.610743),F140000756
2215 1st Av,Aid Response,01/03/2014 02:54:56 AM,47.612716,-122.345399,POINT (-122.345399 47.612716),F140000757
3430 Rainier Av S,Aid Response,01/03/2014 03:03:01 AM,47.572606,-122.293767,POINT (-122.293767 47.572606),F140000758
6334 Rainier Av S,Medic Response,01/03/2014 03:13:22 AM,47.54586,-122.275769,POINT (-122.275769 47.54586),F140000759
510 Minor Av N,Aid Response,01/03/2014 03:34:07 AM,47.623222,-122.333001,POINT (-122.333001 47.623222),F140000760
4709 46th Av S,Aid Response,01/03/2014 03:58:23 AM,47.560459,-122.275724,POINT (-122.275724 47.560459),F140000761
109 Alaskan Way S,Aid Response,01/03/2014 04:36:00 AM,47.601602,-122.336476,POINT (-122.336476 47.601602),F140000763
6535 Seaview Av Nw,Medic Response,01/03/2014 04:36:38 AM,47.676021,-122.406368,POINT (-122.406368 47.676021),F140000764
3rd Av / Pike St,Aid Response,01/03/2014 04:50:04 AM,47.60975,-122.337793,POINT (-122.337793 47.60975),F140000765
