standardCode,networkType,groundElevation,NAME,locationRoad,pointID,elementType
1161112,JS,4.6,JS4384500022,文松路,JS4384500022,给水阀门
161112,JS,4.18,JS4434420007,文松路,JS4434420007,给水阀门
161112,JS,3.96,JS4394490008,文松路,JS4394490008,给水阀门
161112,JS,0.0,JS4404470007,文松路,JS4404470007,给水阀门
161112,JS,8.15,JS4604370016,滨江滨海路,JS4604370016,阀门
161112,JS,8.95,JS4504530010,滨江滨海路,JS4504530010,阀门
161112,JS,7.84,JS4514470011,滨江滨海路,JS4514470011,阀门
161112,JS,7.74,JS4604370019,滨江滨海路,JS4604370019,阀门
161112,JS,9.88,JS4494600001,滨江滨海路,JS4494600001,阀门
161112,JS,7.78,JS4524450005,滨江滨海路,JS4524450005,阀门
161112,JS,0.0,JS4444590008,漳江路,JS4444590008,给水阀门
161112,JS,4.74,JS4394500005,壶江路,JS4394500005,给水阀门
161112,JS,4.86,JS4414560009,壶江路,JS4414560009,给水阀门
161112,JS,4.96,JS4384500025,壶江路,JS4384500025,给水阀门
161112,JS,5.55,JS4404570025,东湖路,JS4404570025,给水阀门
161112,JS,4.79,JS4454380016,文松路,JS4454380016,给水阀门
161112,JS,3.98,JS4394490004,文松路,JS4394490004,给水阀门
161112,JS,0.0,JS4414460008,文松路,JS4414460008,给水阀门
161112,JS,0.0,JS4414450024,文松路,JS4414450024,给水阀门
161112,JS,8.23,JS4564390001,滨江滨海路,JS4564390001,阀门
161112,JS,4.53,JS4624350010,滨江滨海路,JS4624350010,阀门
161112,JS,8.94,JS4494540002,滨江滨海路,JS4494540002,阀门
161112,JS,8.37,JS4574390001,滨江滨海路,JS4574390001,阀门
161112,JS,8.07,JS4524450006,滨江滨海路,JS4524450006,阀门
161112,JS,9.55,JS4504510007,滨江滨海路,JS4504510007,阀门
161112,JS,4.88,JS4394500019,壶江路,JS4394500019,给水阀门
161112,JS,4.73,JS4394510007,壶江路,JS4394510007,给水阀门
161112,JS,5.28,JS4394510005,壶江路,JS4394510005,给水阀门
161112,JS,5.09,JS4404550013,东湖路,JS4404550013,给水阀门
161112,JS,4.09,JS4454370009,文松路,JS4454370009,给水阀门
161112,JS,3.9,JS4414460010,文松路,JS4414460010,给水阀门
161112,JS,4.24,JS4444400001,文松路,JS4444400001,给水阀门
161112,JS,8.6,JS4574400001,滨江滨海路,JS4574400001,阀门
161112,JS,5.86,JS4624360009,滨江滨海路,JS4624360009,阀门
161112,JS,9.48,JS4494580003,滨江滨海路,JS4494580003,阀门
161112,JS,7.95,JS4534430005,滨江滨海路,JS4534430005,阀门
161112,JS,8.7,JS4494570004,滨江滨海路,JS4494570004,给水阀门
161112,JS,10.23,JS4494570012,滨江滨海路,JS4494570012,阀门
161112,JS,4.62,JS4404520001,壶江路,JS4404520001,给水阀门
161112,JS,4.66,JS4394520012,壶江路,JS4394520012,给水阀门
161112,JS,4.82,JS4414560029,壶江路,JS4414560029,给水阀门
161112,JS,4.93,JS4384520019,东湖路,JS4384520019,给水阀门
161112,JS,4.57,JS4474350004,文松路,JS4474350004,给水阀门
161112,JS,4.9,JS4494310002,文松路,JS4494310002,给水阀门
161112,JS,4.32,JS4454370006,文松路,JS4454370006,给水阀门
161112,JS,8.27,JS4534430004,滨江滨海路,JS4534430004,阀门
161112,JS,7.9,JS4604370018,滨江滨海路,JS4604370018,阀门
161112,JS,8.52,JS4544420001,滨江滨海路,JS4544420001,阀门
161112,JS,8.43,JS4514460010,滨江滨海路,JS4514460010,阀门
161112,JS,3.43,JS4624350016,滨江滨海路,JS4624350016,阀门
161112,JS,9.96,JS4484630004,滨江滨海路,JS4484630004,阀门
161112,JS,4.94,JS4414540018,壶江路,JS4414540018,给水阀门
161112,JS,5.17,JS4394510003,壶江路,JS4394510003,给水阀门
161112,JS,4.6,JS4394520014,壶江路,JS4394520014,给水阀门
161112,JS,5.42,JS4414600013,东湖路,JS4414600013,给水阀门
161112,JS,5.56,JS4394490043,东湖路,JS4394490043,给水阀门
161112,JS,3.99,JS4434410001,文松路,JS4434410001,给水阀门
161112,JS,4.44,JS4454370008,文松路,JS4454370008,给水阀门
161112,JS,4.17,JS4404470029,文松路,JS4404470029,给水阀门
161112,JS,8.28,JS4524440007,滨江滨海路,JS4524440007,阀门
161112,JS,7.49,JS4594370003,滨江滨海路,JS4594370003,阀门
161112,JS,10.45,JS4484620001,滨江滨海路,JS4484620001,给水阀门
161112,JS,8.83,JS4504490001,滨江滨海路,JS4504490001,阀门
161112,JS,7.88,JS4614360014,滨江滨海路,JS4614360014,阀门
161112,JS,0.0,JS4394490027,金滨路,JS4394490027,给水阀门
161112,JS,4.85,JS4414560032,壶江路,JS4414560032,给水阀门
161112,JS,5.04,JS4404540007,壶江路,JS4404540007,给水阀门
161112,JS,5.11,JS4394500017,壶江路,JS4394500017,给水阀门
161112,JS,4.76,JS4404580008,东湖路,JS4404580008,给水阀门
161112,JS,5.31,JS4424610015,东湖路,JS4424610015,给水阀门
161112,JS,4.48,JS4394490015,文松路,JS4394490015,给水阀门
161112,JS,3.66,JS4434410003,文松路,JS4434410003,给水阀门
161112,JS,4.33,JS4384500008,文松路,JS4384500008,给水阀门
161112,JS,9.9,JS4494570003,滨江滨海路,JS4494570003,阀门
161112,JS,7.67,JS4524450003,滨江滨海路,JS4524450003,阀门
