standardCode,startPortionTopElevation,networkType,endPortionBuriedDepth,endPortionTopElevation,tubulationID,crossSection,NAME,startPortionBuriedDepth,locationRoad,startPointID,material,elementType,tubulationLength,endPointID
1161101,13.19,JS,11.27,12.91,1JS4394480002,600,JS4394480002,11.08,文松路,JS4394480002,99,给水管-铸铁,141,JS4394480003
163101,2.49,DL,1.3,2.42,DL4384470001,600 mmx450 mm,DL4384470001,1.23,东湖路,DL4384470002,,电力管-风管,18.6,DL4384470001
163101,3.25,DL,0.55,2.98,DL4384480001,450 mmx450 mm,DL4384480001,0.32,东湖路,DL4384470003,,电力管-风管,45.45,DL4384480004
163101,2.54,DL,0.55,3.25,DL4384470002,450 mmx450 mm,DL4384470002,1.23,东湖路,DL4384470004,,电力管-风管,21.64,DL4384470003
163101,3.09,DL,0.6,3.13,DL4394480037,450 mmx450 mm,DL4394480037,0.55,东湖路,DL4384480001,,电力管-风管,46.61,DL4394490061
163101,3.07,DL,0.6,3.09,DL4384480004,450 mmx450 mm,DL4384480004,0.55,东湖路,DL4384480002,,电力管-风管,45.6,DL4384480001
163101,3.1,DL,0.55,3.07,DL4384480003,450 mmx450 mm,DL4384480003,0.57,东湖路,DL4384480003,,电力管-风管,53.9,DL4384480002
163101,2.98,DL,0.57,3.1,DL4384480002,450 mmx450 mm,DL4384480002,0.55,东湖路,DL4384480004,,电力管-风管,46.2,DL4384480003
163101,3.2,DL,0.84,3.14,DL4384500032,150?,DL4384500032,1.52,文松路,DL4384490001,,电力管-T 形三通,49,DL4384500032
163101,3.14,DL,1.52,3.2,DL4384490001,150?,DL4384490001,1.45,文松路,DL4384490002,,电力管-T 形三通,47,DL4384490001
163101,1.35,DL,1.06,3.06,DL4384490002,400x400,DL4384490002,2.78,文松路,DL4384490003,,电力管-半径弯头/T 形三通,7,DL4384490004
163101,4.13,DL,0.45,3.94,DL4384500003,50?,DL4384500003,0.35,文松路,DL4384500001,,电力管-T 形三通,24,DL4384500002
163101,3.94,DL,0.42,4.04,DL4384500004,50?,DL4384500004,0.45,文松路,DL4384500002,,电力管-T 形三通,5,DL4384500003
163101,4.04,DL,0.58,3.9,DL4384500005,50?,DL4384500005,0.42,文松路,DL4384500003,,电力管-T 形三通,5,DL4384500004
163101,3.9,DL,0.43,3.86,DL4384500006,50?,DL4384500006,0.58,文松路,DL4384500004,,电力管-T 形三通,25,DL4384510001
163101,2.89,DL,1.2,3.21,DL4384500048,800x750,DL4384500048,1.45,文松路,DL4384500005,,电力管-半径弯头/T 形三通,55,DL4384500006
163101,2.99,DL,1.45,2.5,DL4384500001,1000x1000,DL4384500001,1.42,文松路,DL4384500006,,电力管-半径弯头/T 形三通,3,DL4384500007
163101,2.89,DL,1.02,3.46,DL4384500049,800x750,DL4384500049,1.52,文松路,DL4384500006,,电力管-半径弯头/T 形三通,56,DL4384500001
163101,4.03,DL,0.43,3.94,DL4384500029,1700x1400,DL4384500029,0.45,文松路,DL4384500012,,电力管-半径弯头/T 形三通,37,DL4384500011
163101,3.91,DL,0.45,4.03,DL4384500039,1700x1400,DL4384500039,0.56,文松路,DL4384500013,,电力管-半径弯头/T 形三通,46,DL4384500012
163101,3.58,DL,0.85,3.61,DL4384500022,120x60,DL4384500022,0.88,文松路,DL4384500014,,电力管-半径弯头/T 形三通,1,DL4384500022
163101,3.66,DL,2.6,1.58,DL4384500026,400x400,DL4384500026,0.81,文松路,DL4384500015,,电力管-半径弯头/T 形三通,11,DL4384500019
163101,3.66,DL,0.81,3.46,DL4384500025,120x60,DL4384500025,0.81,文松路,DL4384500015,,电力管-半径弯头/T 形三通,5,DL4384500016
